"ONTOLOGY","ID","Description","p.adjust","geneID","dbPEC"
"BP","GO:0010256","endomembrane system organization",0.0117070467074984,"CXCR4/CAV1/STAM/BIN1/PRKD1/CHMP2A/SYT7/PPP2CA/BLOC1S2/PSAP/CREB1/ANK2/NDEL1/HGS/AKAP9/CSNK1A1/DCTN1/HTT/MAP2K1/PLK1/PLSCR1/PRKCB/PTPRC/SH3GL2/SRGN/SYT4/ARL6IP1/CAV2/CCNB1/CCNB2/CHMP4C/GBF1/PDCD10/PIK3C3/PRMT5/PTPRN/RTN4/SPTA1/TBPL1/ZW10","Yes"
"BP","GO:0034660","ncRNA metabolic process",0.0117107970154045,"CCNT2/OSGEP/CDK9/SMAD1/DALRD3/SMARCA4/TBP/CSTF2/EXOSC6/GTF2E2/GTF2F1/HRAS/IARS/MPHOSPH6/NCL/POLR2A/SMAD3/TARBP2/UTP14A/WBP11/XRN1/XRN2/C1D/CCNK/CDK5RAP1/CPSF1/DIS3L2/DKC1/EXOSC10/FBL/GARS/HSD17B10/KHSRP/MYOD1/NCBP1/POLR2D/POLR2E/POLR2G/POU2F2/PPA1/QRSL1/SARS2/TBL3/TP53RK/TRDMT1/UTP3/UTP6/WDR18/XPO5","No"
"BP","GO:0034134","toll-like receptor 2 signaling pathway",0.0117107970154045,"F2RL1/TNIP2/TLR1/TLR6/IRAK1","No"
"BP","GO:0035815","positive regulation of renal sodium excretion",0.0117107970154045,"GNAI2/AVPR1A/DRD3/NPR1/SNX5","Yes"
"BP","GO:0060009","Sertoli cell development",0.0117107970154045,"FLNA/NTRK1/SOX8/ARID4A/SOX9","No"
"BP","GO:0060134","prepulse inhibition",0.0117107970154045,"DRD1/GRID2/DRD3/NRXN1/SLC6A3","No"
"BP","GO:0060841","venous blood vessel development",0.0117107970154045,"BMPR2/ACVRL1/EFNB2/NOTCH1/PROX1","No"
"BP","GO:0071380","cellular response to prostaglandin E stimulus",0.0117107970154045,"PRKCE/PTGER2/PRKAA2/GNB1/AKAP8","No"
"BP","GO:0071599","otic vesicle development",0.0117107970154045,"COL2A1/PROX1/FGFR2/SIX1/SOX9","No"
"BP","GO:0090197","positive regulation of chemokine secretion",0.0117107970154045,"AIF1/C5/LRP1/MBP/CSF1R","No"
"BP","GO:1903543","positive regulation of exosomal secretion",0.0117107970154045,"STAM/CHMP2A/SDCBP/HGS/SMPD3","No"
"BP","GO:0002720","positive regulation of cytokine production involved in immune response",0.0117606360303604,"PRKCZ/F2RL1/HK1/TRAF2/CD81/TRAF6/FFAR2/FZD5/IL18R1/LILRB1","Yes"
"BP","GO:0003179","heart valve morphogenesis",0.0117606360303604,"EFNA1/BMPR2/MEF2C/GATA4/MDM2/NOTCH1/ROCK1/SMAD6/ROBO1/SOX9","Yes"
"MF","GO:0017075","syntaxin-1 binding",0.0117818297475714,"SYT1/SNAP25/STXBP1/SYT4/DAPK1/RNF40","No"
"BP","GO:0071496","cellular response to external stimulus",0.0119611401194725,"TRIM24/AQP1/AIF1/TLR8/BMPR2/PRKAA2/PRKD1/INHBB/ITGA2/WNT4/FOXA2/FADD/FYN/HDAC4/MAP1LC3B/MAP3K14/MDM2/MYD88/NCOA1/PTPRC/SRF/AVPR1A/CASP2/CASR/DCTPP1/HNRNPA1/KRT20/LTBR/MYOD1/P2RY12/PIK3C3/PPP1R9B/SOX9/SREBF2/TNFSF14/USP33","Yes"
"CC","GO:0030136","clathrin-coated vesicle",0.0119640493314057,"FURIN/CD9/CD4/SYT1/CLTC/DVL2/LRP1/CLTA/AP1M1/AP3B1/RGS19/SH3GL2/AP1G1/AVPR2/BTC/CD3G/CPNE6/FZD5/GAD2/IL7R/ROR2/SORT1/TGOLN2","Yes"
"BP","GO:0008038","neuron recognition",0.0120135136435233,"CXCR4/EPHA3/CELSR3/APP/EPHA4/ROBO1/RTN4/TNFRSF21","No"
"BP","GO:0033144","negative regulation of intracellular steroid hormone receptor signaling pathway",0.0120135136435233,"CLOCK/BRCA1/CNOT2/SMARCA4/HDAC1/NCOR1/CRY2/FOXP1","No"
"BP","GO:0051973","positive regulation of telomerase activity",0.0120135136435233,"XRCC5/HSP90AA1/MAP2K7/MYC/NEK2/PRKCQ/PTGES3/DKC1","No"
"BP","GO:0090313","regulation of protein targeting to membrane",0.0120135136435233,"CDK5/CIB1/FYN/HRAS/PAK1/INPP5K/ITGB1BP1/STOM","No"
"CC","GO:0005876","spindle microtubule",0.0120410359109737,"CALM1/CLTC/CENPE/NUMA1/PLK1/TUBG1/DYNLT3/KIF11/POLB/ZW10","No"
"BP","GO:0014902","myotube differentiation",0.0121383360726306,"CD9/MEF2C/WNT1/CD81/CAPN2/FLT3LG/HDAC4/HOMER1/NOTCH1/AVPR1A/CAV2/DYRK1B/MYOD1/SORT1/TNFSF14/XK","Yes"
"BP","GO:0001754","eye photoreceptor cell differentiation",0.0121618172713224,"PAX6/SOX8/MYO7A/NR2E3/PRDM1/ROM1/SOX9/THRB/TOPORS","No"
"BP","GO:0051205","protein insertion into membrane",0.0121618172713224,"SFN/TFDP1/BID/GZMB/YWHAG/YWHAQ/BCL2L11/MOAP1/TP73","Yes"
"BP","GO:0031058","positive regulation of histone modification",0.0121791730238443,"BRCA1/PRKD1/CDK9/AKAP8/ARRB1/KAT2A/MECP2/PRKD2/CCNB1/HIST1H1B/ING2/MTF2/RNF40/UBE2N","Yes"
"CC","GO:0016591","RNA polymerase II, holoenzyme",0.0122057893432205,"TRRAP/TBP/MMS19/ERCC3/GTF2E2/GTF2F1/KAT2A/POLR2A/POLR2D/POLR2E/POLR2G/TBPL1","No"
"BP","GO:0001704","formation of primary germ layer",0.0123407153390609,"FZD7/BMPR2/HOXA11/ITGA2/SMAD1/NF2/ITGA3/PRKACA/SMAD3/SRF/EPHA2/FGFR2/HSBP1/ITGB4/LAMA3/PAX2/SIX2","Yes"
"BP","GO:0034605","cellular response to heat",0.0123407153390609,"HSP90AA1/CREBBP/RAE1/BAG1/CAMK2A/DNAJC7/GSK3B/IRAK1/PRKACA/PTGES3/RPA2/SUMO1/HSBP1/HSPB8/NF1/NUP210/NUP50","Yes"
"BP","GO:1900180","regulation of protein localization to nucleus",0.0123407153390609,"JUP/STK11/TMEM98/NF2/FLNA/FYN/GSK3B/PIN1/PLK1/SMAD3/SRC/DKC1/DMAP1/DTX3L/ECT2/IPO5/NF1","Yes"
"BP","GO:1903844","regulation of cellular response to transforming growth factor beta stimulus",0.0123407153390609,"CAV1/UBB/WNT1/STK11/CREBBP/SDCBP/GIPC1/ITGA3/PDPK1/PIN1/SMAD3/SMAD6/SMURF2/CAV2/ING2/LTBP4/ONECUT1","Yes"
"BP","GO:0003407","neural retina development",0.0123648654055773,"SMARCA4/SMARCD3/SIX3/SOX8/CASP2/MEGF11/ROM1/SOX9/TFAP2B/THRB/TOPORS","Yes"
"BP","GO:0046635","positive regulation of alpha-beta T cell activation",0.0123648654055773,"CD28/PRKCZ/CD81/AP3B1/CD3E/PRKCQ/PTPRC/RUNX1/CCL19/CD80/NFKBIZ","Yes"
"BP","GO:0035304","regulation of protein dephosphorylation",0.0123648654055773,"CALM1/PPP2R5A/JAK2/GNAI2/GSK3B/HTT/PIN1/PTPRC/ROCK1/CRY2/LILRB2/MYOZ1/PHACTR1/PPP1R10/PPP1R16A/PPP1R2/PPP1R7/PPP1R9B/SMPD1","Yes"
"CC","GO:1990391","DNA repair complex",0.0124206689663511,"XRCC5/RCOR1/POLD1/XRCC4/XRCC6/MSH6/XPC","No"
"BP","GO:0032204","regulation of telomere maintenance",0.0124663859993064,"XRCC5/MAP2K7/MYC/NEK2/PRKCQ/SMG1/SRC/XRN1/DKC1/EXOSC10/GNL3/HNRNPA1/PPP1R10","No"
"BP","GO:1900034","regulation of cellular response to heat",0.0124663859993064,"HSP90AA1/CREBBP/RAE1/BAG1/CAMK2A/DNAJC7/GSK3B/PTGES3/RPA2/HSBP1/HSPB8/NUP210/NUP50","Yes"
"BP","GO:0071383","cellular response to steroid hormone stimulus",0.01253201492631,"AQP1/CCNE1/CLOCK/BRCA1/NEDD4/JAK2/CNOT2/HNF4A/SMARCA4/SOX10/EIF4EBP1/HDAC1/HDAC6/NCOA1/NCOR1/NR5A1/PAK1/RUNX1/RXRB/SRC/UBE3A/BCL2L11/CRY2/FOXP1/GHRHR/MYOD1/NR2E3/PPP5C/THRB","Yes"
"BP","GO:0050871","positive regulation of B cell activation",0.0125553524904334,"CD28/VAV3/MEF2C/TNIP2/CD81/TNFRSF13C/BTK/EXOSC6/PTPRC/TNFRSF4/CD27/STAT6","Yes"
"BP","GO:1904427","positive regulation of calcium ion transmembrane transport",0.0125553524904334,"CALM1/PLCG2/ATP1B1/CALCR/DRD1/ANK2/ABL1/HAP1/HTT/PDPK1/RAMP3/SUMO1","Yes"
"CC","GO:0000777","condensed chromosome kinetochore",0.012579696251207,"CFDP1/CENPE/CKAP5/NDEL1/BUB1B/CSNK1A1/ITGB3BP/MAD1L1/MAD2L1/NDC80/NEK2/PLK1/CCNB1/DYNLT3/ZW10","No"
"BP","GO:0007631","feeding behavior",0.0127546508385478,"OPRK1/NPY1R/DRD1/TRH/APP/FYN/OPRD1/CNTFR/HTR1B/HTR2C/MC3R/MCHR1/OPRL1/OPRM1/RMI1","Yes"
"CC","GO:0016234","inclusion body",0.0129004506654861,"DVL2/STRADB/POLD1/HAP1/HDAC6/HTT/PRKCQ/TRIM37/UBQLN1/XRN2/NEFM/NXF1/RAD18","Yes"
"BP","GO:0034205","amyloid-beta formation",0.0131538590798545,"EFNA1/BIN1/APP/HAP1/ROCK1/EPHA4/SORL1","Yes"
"BP","GO:0046627","negative regulation of insulin receptor signaling pathway",0.0131538590798545,"PRKCZ/PTPRE/NCK1/PRKCB/PRKCQ/INPP5K/NCOA5","Yes"
"BP","GO:0097106","postsynaptic density organization",0.0131538590798545,"DLG1/DLG3/GRID2/LILRB2/NLGN2/NRXN1/NRXN2","No"
"BP","GO:1903539","protein localization to postsynaptic membrane",0.0131538590798545,"PRKCZ/GRASP/DLG1/HRAS/RAB8A/RAP1A/SNAP25","No"
"BP","GO:0002700","regulation of production of molecular mediator of immune response",0.01331692559082,"CD28/PRKCZ/F2RL1/IL27RA/HK1/TRAF2/CD81/BTK/EXOSC6/JAK3/PTPRC/TNFRSF4/TRAF6/APOA2/FFAR2/FZD5/IL18R1/LILRB1/STAT6","Yes"
"BP","GO:0032655","regulation of interleukin-12 production",0.01331692559082,"TLR8/PLCB1/MAPK11/IRF8/HMGB1/JAK3/TRAF6/CCL19/FOXP1/LILRB1","Yes"
"BP","GO:0043551","regulation of phosphatidylinositol 3-kinase activity",0.01331692559082,"PDGFRA/VAV3/PTK2B/PRKD1/CCL21/PTK2/SRC/CCL19/EPHA8/P2RY12","Yes"
"BP","GO:0051291","protein heterooligomerization",0.0133363826848223,"COL1A2/PRKCZ/JUP/ITPR3/SYT1/TRAF2/CHMP2A/LIMS1/HIST3H3/GNB1/BIRC2/TRADD/HRAS/INSR/NUDT21/PKD1/XRCC6/PPP5C","No"
"BP","GO:0000715","nucleotide-excision repair, DNA damage recognition",0.0133363826848223,"UBB/COPS6/GPS1/RBX1/DDB1/XPC","No"
"BP","GO:0006623","protein targeting to vacuole",0.0133363826848223,"NEDD4/HGS/AP3B1/AP4M1/NAGPA/SORL1","No"
"BP","GO:0030318","melanocyte differentiation",0.0133363826848223,"KITLG/MEF2C/MYO5A/SOX10/EDN3/MITF","No"
"BP","GO:0035813","regulation of renal sodium excretion",0.0133363826848223,"GNAI2/AVPR1A/AVPR2/DRD3/NPR1/SNX5","Yes"
"BP","GO:0042094","interleukin-2 biosynthetic process",0.0133363826848223,"CD28/CD4/CD3E/PRKCQ/PTPRC/CD80","Yes"
"BP","GO:0061213","positive regulation of mesonephros development",0.0133363826848223,"SOX8/MAGED1/PAX2/SIX1/SOX9/WT1","No"
"BP","GO:0071378","cellular response to growth hormone stimulus",0.0133363826848223,"PRLR/PXN/JAK2/JAK3/PTK2/STAT5A","Yes"
"BP","GO:2000810","regulation of bicellular tight junction assembly",0.0133363826848223,"TJP1/PRKACA/ROCK1/RUNX1/EPHA2/FZD5","Yes"
"CC","GO:0010008","endosome membrane",0.0134569034480421,"STX7/FZD7/FURIN/CAV1/UBB/TSPAN15/TLR8/CUBN/STAM/IRF7/CLTC/LLGL1/CHMP2A/SNX1/SH3GL1/RAB11FIP2/HGS/CLTA/APPL1/INSR/IRAK1/ITCH/MYD88/NCF4/NTRK1/PLEKHF2/RAB8A/RAP2A/SNX2/SNX4/STX8/TRAF6/UBE2D3/ARHGAP1/ATG9A/CD1D/CHMP4C/DTX3L/EPHA4/EPHA8/FZD5/GPNMB/ITM2B/RAB31/SNX5/SORL1/SORT1","Yes"
"MF","GO:0033613","activating transcription factor binding",0.0135451254242766,"PITX2/MEF2C/LMO2/HNF4A/CREB1/CREBBP/GATA4/HDAC1/HDAC4/MYC/NCOR1/SMAD3","No"
"BP","GO:0055001","muscle cell development",0.0137059314017893,"PDGFRA/BIN1/MEF2C/ANK2/DMD/GATA4/HDAC4/HOMER1/NOTCH1/PAK1/PIN1/PROX1/SLC8A1/SRF/CAV2/CCNB1/FLNC/MYL2/MYOD1/MYOZ1/XK","Yes"
"BP","GO:0009798","axis specification",0.0137241769927352,"PITX2/PCSK6/WNT1/FOXA2/MDFI/PAX6/SIX3/SMAD6/SRF/FZD5/SENP2/SIX2/WT1","No"
"BP","GO:1903363","negative regulation of cellular protein catabolic process",0.0137241769927352,"EFNA1/FURIN/GABARAPL2/CSNK2A2/WNT1/SDCBP/GIPC1/CSNK2A1/PRKCG/SMARCC1/EPHA4/FHIT/TRIM39","No"
"BP","GO:0015800","acidic amino acid transport",0.013820460332445,"SLC1A6/SYT1/STX1A/GIPC1/SNAP25/STXBP1/SYT4/ARL6IP1/AVPR1A/GRM7/NF1","Yes"
"BP","GO:0032729","positive regulation of interferon-gamma production",0.013820460332445,"IL27RA/TLR8/IRF8/TNFRSF13C/ABL1/CD2/CD3E/FADD/HRAS/FZD5/IL18R1","Yes"
"BP","GO:0046632","alpha-beta T cell differentiation",0.0138597335127138,"PRKCZ/HMGB1/TMEM98/SATB1/ABL1/AP3B1/JAK3/RUNX1/CCL19/CD80/FOXP1/IL18R1/NFKBIZ/PRDM1/STAT6","Yes"
"BP","GO:0030834","regulation of actin filament depolymerization",0.0138597335127138,"F2RL1/SPTAN1/CFL1/EPS8/RDX/SPTBN4/SPTA1/SPTBN2/TWF2","Yes"
"BP","GO:0032570","response to progesterone",0.0138597335127138,"GABRB1/NCOA2/CAV1/PTGER2/TXNIP/SOX10/NCOA1/SRC/UBE3A","Yes"
"BP","GO:0060412","ventricular septum morphogenesis",0.0138597335127138,"BMPR2/SAV1/FZD1/ID2/NOTCH1/PROX1/FGFR2/ROBO1/ZFPM2","Yes"
"BP","GO:0033555","multicellular organismal response to stress",0.0138597335127138,"MEF2C/DRD1/CAPN2/MAPK8IP2/MECP2/NTRK1/PRKCG/VDAC1/ADCYAP1R1/DEAF1/HTR1A/HTR2C","Yes"
"BP","GO:0042100","B cell proliferation",0.0138597335127138,"VAV3/MEF2C/CD81/TNFRSF13C/ABL1/BTK/PTPRC/TNFRSF4/IKZF3/IL7R/MS4A1/TNFRSF21","Yes"
"BP","GO:0042310","vasoconstriction",0.0138597335127138,"CAV1/BMPR2/ADRA2C/HTR1D/SLC8A1/ADRA2B/CASR/DRD5/EDN3/HTR1A/HTR1B/PTAFR","Yes"
"BP","GO:0001662","behavioral fear response",0.0138597335127138,"MEF2C/DRD1/MAPK8IP2/MECP2/VDAC1/DEAF1/HTR1A/HTR2C","Yes"
"BP","GO:0001941","postsynaptic membrane organization",0.0138597335127138,"CRKL/DLG4/FZD9/FNTA/NLGN2/NRXN1/NRXN2/RER1","No"
"BP","GO:0032467","positive regulation of cytokinesis",0.0138597335127138,"PRKCE/KIF20B/GIPC1/SSTR5/CXCR5/DRD3/ECT2/KIF23","No"
"BP","GO:0051590","positive regulation of neurotransmitter transport",0.0138597335127138,"SYT1/STX1A/CDK5/SNX4/STXBP1/ARL6IP1/CACNA1D/TACR2","Yes"
"BP","GO:0060306","regulation of membrane repolarization",0.0138597335127138,"CAV1/DLG1/ANK2/AKAP9/FLNA/CACNA1D/KCNQ1/NOS1AP","No"
"BP","GO:0072665","protein localization to vacuole",0.0138597335127138,"NEDD4/CD81/HGS/AP3B1/AP4M1/NAGPA/RTN4/SORL1","No"
"BP","GO:1905314","semi-lunar valve development",0.0138597335127138,"EFNA1/BMPR2/GATA4/NOTCH1/ROCK1/SMAD6/ROBO1/SOX9","Yes"
"BP","GO:0006898","receptor-mediated endocytosis",0.0138669567529775,"PIK3CB/EZR/CD9/CAV1/CUBN/CLTC/HSPG2/PLCG2/HSP90AA1/NEDD4/CD81/SNX1/LRP1/DLG4/SDCBP/ARF1/ARRB1/CCL21/EFNB2/INSR/NTF3/PDLIM7/RAMP3/SH3GL2/SNAP25/UNC119/CAP1/CAV2/CCL19/DRD3/HTR1B/LILRB1/RAB31/SORL1","Yes"
"CC","GO:0101002","ficolin-1-rich granule",0.0139949516036907,"PRG2/ARPC5/JUP/DYNLL1/HSP90AA1/HMGB1/ACTR2/KCMF1/COPB1/CSNK2B/KPNB1/SIRPA/VCL/XRCC6/CD93/CTSS/GLB1/LILRB2/MVP/PSMA5/PSMB1/PSMB7/PTPRN2","Yes"
"BP","GO:0001818","negative regulation of cytokine production",0.0140628801250285,"EZR/F2RL1/FURIN/IL27RA/TLR8/POMC/INHBB/HMGB1/MERTK/PPM1B/MAPKBP1/TLR6/AKAP8/LBP/TAX1BP1/ARRB1/BTK/CSK/ITCH/JAK3/PIN1/PTPN6/PTPRC/SIRPA/SRGN/TRIM27/APOA2/EPHA2/GPNMB/LILRB1/MC1R/TNFRSF21/TRAF3IP1","Yes"
"BP","GO:0042303","molting cycle",0.0140637580572247,"KRT17/CLOCK/SAV1/MYO5A/TNFRSF19/TRADD/HDAC1/NUMA1/SOS1/CELSR1/EDAR/FGFR2/FZD6/NF1/PTCH2/SOX9","Yes"
"BP","GO:0042633","hair cycle",0.0140637580572247,"KRT17/CLOCK/SAV1/MYO5A/TNFRSF19/TRADD/HDAC1/NUMA1/SOS1/CELSR1/EDAR/FGFR2/FZD6/NF1/PTCH2/SOX9","Yes"
"BP","GO:1903052","positive regulation of proteolysis involved in cellular protein catabolic process",0.0140637580572247,"CAV1/PTK2B/PSMC6/SUMO2/CSNK1A1/DISC1/GSK3B/MDM2/PLK1/PTK2/RBX1/SUMO1/UBQLN1/RNF139/RNF40/UBE2V2","Yes"
"BP","GO:0002831","regulation of response to biotic stimulus",0.0140637580572247,"TRAF3/TSPAN6/F2RL1/HMGB1/PPM1B/MAPKBP1/BIRC2/ITCH/TARBP2/TRAF6/TRIM5/CD226/DTX3L/FOXP1/LILRB1/LRSAM1/PVR/STAT1/TRAF3IP1","Yes"
"BP","GO:0045580","regulation of T cell differentiation",0.0140637580572247,"CD28/PRKCZ/HMGB1/ABL1/AP3B1/CD2/JAK3/KAT2A/PTPRC/RUNX1/SOS1/CCL19/CD27/CD80/DTX1/IL7R/LILRB2/NFKBIZ/PRDM1","Yes"
"BP","GO:0035710","CD4-positive, alpha-beta T cell activation",0.0144285822028654,"PRKCZ/HMGB1/CD81/TMEM98/SATB1/JAK3/PRKCQ/RUNX1/CCL19/CD80/FOXP1/IL18R1/NFKBIZ/STAT6","Yes"
"BP","GO:0007018","microtubule-based movement",0.0144285822028654,"PRKCZ/UBB/MAPK8IP3/DYNLL1/BICD2/TRAK2/CENPE/BLOC1S2/PCM1/ACTR2/NDEL1/AP3B1/APP/HAP1/HDAC6/HTT/KPNB1/MAP1B/RPGR/CLUAP1/DYNC1I2/KIF11/KIF1C/KIF23/KLC2/TRAF3IP1/TUB","No"
"BP","GO:0003183","mitral valve morphogenesis",0.0144366357625958,"EFNA1/BMPR2/NOTCH1/SMAD6","No"
"BP","GO:0032836","glomerular basement membrane development",0.0144366357625958,"NID1/COL4A3/COL4A4/WT1","No"
"BP","GO:0060033","anatomical structure regression",0.0144366357625958,"SPI1/SMAD5/AMHR2/GLI1","No"
"CC","GO:0005875","microtubule associated complex",0.014631594507355,"DYNLL1/PXN/DCTN2/DCTN1/DISC1/GABARAP/HDAC6/SNX4/DYNLT3/FNTA/KLC2/LRP8/PEA15/TOPORS","No"
"CC","GO:0019897","extrinsic component of plasma membrane",0.0147361486185332,"JUP/SYTL2/CUBN/PTK2B/CRKL/GNA15/GNB1/DLG4/AKAP9/KPNA2/NUMA1/PLG/SNAP25/CAV2/SNX5","No"
"BP","GO:0000375","RNA splicing, via transesterification reactions",0.0147420726917121,"GEMIN5/LSM7/UPF3B/SF3B1/SNRPC/CSTF2/GTF2F1/LSM1/LSM5/NUDT21/PNN/POLR2A/RBM8A/RNPS1/SNRPB/SNRPD2/U2AF2/WBP11/CDC5L/CPSF1/GEMIN6/HNRNPA1/HNRNPH3/HNRNPR/KHDRBS2/KHSRP/LSM2/MYOD1/NCBP1/POLR2D/POLR2E/POLR2G/PRMT5/PRPF4B/RSRC1/SON/WBP4/XAB2","No"
"BP","GO:0071897","DNA biosynthetic process",0.0147647686087777,"UBB/BMPR2/ACVRL1/PTK2B/XRCC5/TFDP1/HSP90AA1/POLD1/MAP2K7/MYC/NEK2/POLA2/PRKCQ/PRKD2/PTGES3/RPA2/SRC/XRN1/DKC1/EXOSC10/HNRNPA1/POLB/RFC3/SMPD3","No"
"CC","GO:0035371","microtubule plus-end",0.0147988279701943,"CKAP5/MYO5A/CDK5RAP2/DCTN1/NUMA1","No"
"BP","GO:0002763","positive regulation of myeloid leukocyte differentiation",0.0148575416464012,"CD4/KITLG/CREB1/CCR1/FADD/ID2/RUNX1/TRAF6/ACIN1/ROR2","Yes"
"BP","GO:0070830","bicellular tight junction assembly",0.0148575416464012,"TJP1/DLG1/PRKACA/ROCK1/RUNX1/SRF/ECT2/EPHA2/FZD5/PARD6G","Yes"
"BP","GO:0032414","positive regulation of ion transmembrane transporter activity",0.0149466275240768,"CALM1/TRPC6/PLCG2/ATP1B1/RGS9/ANK2/AKAP9/DMD/HAP1/HTT/SUMO1/CTSS/HTR3A/NOS1AP/PTAFR","Yes"
"BP","GO:0060840","artery development",0.0149466275240768,"BMPR2/ACVRL1/PLXND1/LRP1/COL3A1/EFNB2/NOTCH1/PROX1/SMAD6/SRF/NF1/PRDM1/ROBO1/SIX1/TFAP2B","Yes"
"MF","GO:0005546","phosphatidylinositol-4,5-bisphosphate binding",0.0150613731828682,"FZD7/SYTL2/SYT1/PLCB1/PFN2/SYT7/SDCBP/PFN1/PLCD1/KCNQ1/KRIT1/TWF2","No"
"MF","GO:0030228","lipoprotein particle receptor activity",0.0150613731828682,"LRP1/LRP10/LRP12/LRP8/SORL1","No"
"MF","GO:0035497","cAMP response element binding",0.0150613731828682,"CREB1/E4F1/CREB3/CREB3L3/TCF12","No"
"MF","GO:0050811","GABA receptor binding",0.0150613731828682,"GABRB1/GABARAPL2/TRAK2/PPP2CA/GABARAP","No"
"BP","GO:0048285","organelle fission",0.0151030407237451,"CD28/UBB/PLCB1/CHMP2A/CENPE/KIF20B/WNT4/POGZ/AKAP8/ACTR2/BUB1B/CDC25C/CDK5RAP2/EPS8/FLNA/INSR/KPNB1/MAD1L1/MAD2L1/MSX1/NDC80/NEK2/NUMA1/PIN1/PLK1/BTC/CAV2/CCNB1/CHMP4C/DIS3L2/DRD3/EDN3/FBXW5/ING2/KIF11/KIF23/LRP5/PPP1R9B/PRMT5/SMC5/SMPD3/ZW10","No"
"BP","GO:0001780","neutrophil homeostasis",0.0151030407237451,"PIK3CB/HMGB1/MERTK/JAM3/MPL","No"
"BP","GO:0010919","regulation of inositol phosphate biosynthetic process",0.0151030407237451,"PTK2B/ADCYAP1R1/LHCGR/PTAFR/PTH1R","No"
"BP","GO:0031958","corticosteroid receptor signaling pathway",0.0151030407237451,"CLOCK/NEDD4/JAK2/CRY2/PPP5C","No"
"BP","GO:0097067","cellular response to thyroid hormone stimulus",0.0151030407237451,"GATA1/LMO2/RDX/CTSS/SIX1","No"
"BP","GO:1903541","regulation of exosomal secretion",0.0151030407237451,"STAM/CHMP2A/SDCBP/HGS/SMPD3","No"
"BP","GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process",0.0152105158390829,"CAV1/SUMO2/SDCBP/GIPC1/CSNK1A1/GNA12/GSK3B/MDM2/PLK1/RBX1/SMARCC1/SUMO1/UBQLN1/UBQLN4/FHIT/UBE2V2","No"
"BP","GO:0001889","liver development",0.0152111106524487,"CSNK2A2/WNT1/ITGA2/WNT4/CEBPB/HNF4A/EZH2/CSNK2B/HNF1A/PKD1/PROX1/RAP1A/SMAD3/GLI1/NF1/ONECUT1/PRMT5/SOX9","Yes"
"BP","GO:0035019","somatic stem cell population maintenance",0.0152111106524487,"SPI1/PBX1/POLR2A/RAF1/FOXP1/PAX2/POLR2D/POLR2E/POLR2G/SALL1/SIX2/SOX9","Yes"
"BP","GO:0021872","forebrain generation of neurons",0.0152111106524487,"UBB/DRD1/DISC1/PAX6/PROX1/CSF1R/FGFR2/PLXNA3/ROBO1/SALL1/UQCRQ","Yes"
"BP","GO:0043297","apical junction assembly",0.0152111106524487,"TJP1/DLG1/PRKACA/ROCK1/RUNX1/SRF/VCL/ECT2/EPHA2/FZD5/PARD6G","Yes"
"BP","GO:0055025","positive regulation of cardiac muscle tissue development",0.0152111106524487,"MEF2C/ERBB3/CREB1/EFNB2/KAT2A/NOTCH1/PIN1/CCNB1/FGFR2/GLI1/ZFPM2","No"
"BP","GO:0031667","response to nutrient levels",0.0152111106524487,"TRIM24/STC2/CD4/BMPR2/SSTR1/PRKAA2/PRKD1/POMC/INHBB/ITGA2/WNT4/FOXA2/CREB1/CD3E/EIF4EBP1/FYN/GATA4/GNAI2/KAT2A/MAP1B/MAP1LC3B/MDM2/NCOA1/NTRK1/PRKCG/PROX1/SLC8A1/SRC/SRF/SST/TRPC3/CASR/EIF2AK1/HNRNPA1/HTR2C/KRT20/MGMT/MYOD1/OPRM1/P2RY12/PAX2/PIK3C3/RMI1/SCTR/SREBF2/STAT1/UCP3/USP33","Yes"
"BP","GO:0010950","positive regulation of endopeptidase activity",0.0153413339342626,"EFNA1/TRAF2/JAK2/HMGB1/TRADD/ARRB1/FADD/FYN/LCK/MBP/MYC/SMAD3/AKIRIN2/BCL2L11/COL4A3/DAPK1/EPHA4/NLRC4/PDCD2/PDCD5/ROBO1","Yes"
"BP","GO:0034694","response to prostaglandin",0.0153582002156994,"PRKCE/PTGER2/PRKAA2/GNB1/AKAP8/CCL21/CCL19","Yes"
"BP","GO:0090314","positive regulation of protein targeting to membrane",0.0153582002156994,"CDK5/CIB1/FYN/HRAS/PAK1/ITGB1BP1/STOM","No"
"BP","GO:0099623","regulation of cardiac muscle cell membrane repolarization",0.0153582002156994,"DLG1/ANK2/AKAP9/FLNA/CACNA1D/KCNQ1/NOS1AP","No"
"BP","GO:1902991","regulation of amyloid precursor protein catabolic process",0.0153582002156994,"EFNA1/BIN1/APP/HAP1/ROCK1/EPHA4/SORL1","Yes"
"BP","GO:1905476","negative regulation of protein localization to membrane",0.0153582002156994,"CLTC/PPP2R5A/CSK/FZD9/INPP5K/ITGB1BP1/RHOQ","No"
"CC","GO:0070160","tight junction",0.0155401601051158,"PRKCZ/TJP1/VASP/LIN7B/DLG1/CGN/DLG3/MPDZ/TRAF4/ADCYAP1R1/ECT2/EPHA2/FZD5/JAM2/JAM3/LIN7C/PARD6G","Yes"
